履修期名,曜日,1,2,3,4,5,6,科目名,特記事項,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教室,教室,教室,教室,教室,教室,教室,教室,教室,教室,
前期,月,,○,,,,,スポーツⅠ,競技：ゴルフ,東中　友哉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,授業実施場所は別途連絡,,,,,,,,,,
後期,月,,○,,,,,スポーツⅡ,競技：バレーボール,小沼　直子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,授業実施場所は別途連絡,,,,,,,,,,
後期,月,,○,,,,,スポーツⅡ,競技：バスケットボール,服部　英恵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,授業実施場所は別途連絡,,,,,,,,,,
後期,月,,○,,,,,健康の科学,,重城　哲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1012,,,,,,,,,,
後期,月,,○,,,,,スポーツⅡ,競技：ソフトボール,進藤　大典,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,授業実施場所は別途連絡,,,,,,,,,,
後期,月,,○,,,,,スポーツⅡ,競技：サッカー,鈴木　功士,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,授業実施場所は別途連絡,,,,,,,,,,
後期,月,,○,,,,,スポーツⅡ,競技：テニス,髙橋　亮輔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,授業実施場所は別途連絡,,,,,,,,,,
後期,月,,○,,,,,スポーツⅡ,競技：バドミントン・卓球,安住　文子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,授業実施場所は別途連絡,,,,,,,,,,
後期,月,,○,,,,,スポーツⅡ,競技：ニュースポーツ,沖　和磨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,授業実施場所は別途連絡,,,,,,,,,,
後期,月,,○,,,,,スポーツⅡ,競技：ゴルフ,東中　友哉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,授業実施場所は別途連絡,,,,,,,,,,
後期,月,,○,,,,,英語特殊講義A,,秋庭　大悟,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1011,,,,,,,,,,
